"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"b0",0.00742208484036725,0.00695661237208783,0.00679645668385458,0.00630768113505374,0.00696760883779705,0.00679033582769417,0.00685523516222825,0.00773940888970138,0.0079282387848478,0.00820664467080228
"b1",0.136956781140498,0.119824636557457,0.122522994653286,0.108254352658443,0.108847900521286,0.111767829226394,0.112775514910473,0.117312997754907,0.113344684626137,0.140818388434163
"b2",0.263464059708523,0.267110589482163,0.265000656717766,0.236376970325546,0.243535825331045,0.217108078758289,0.233922524443084,0.208213401815024,0.236304641604984,0.206881048042739
"b3",0.146434564082912,0.1317128690766,0.162020140916669,0.139323608661258,0.151963719540019,0.143289280656754,0.149354976111699,0.14844278388557,0.141865198768929,0.162015872019143
"b4",0.114174452749572,0.139328709791892,0.107373499869867,0.130480323072985,0.139472537205828,0.127525544720709,0.122052617257976,0.101710635460157,0.101486909469338,0.0797776434705771
"b5",-0.228798261396123,-0.246853070211176,-0.246795492490487,-0.216686064745106,-0.211390978231634,-0.191904300188691,-0.223513418110125,-0.218427011779122,-0.238837971695108,-0.169827064961947
"b6",-0.529185486101767,-0.528051569211985,-0.53571542188482,-0.529466223025018,-0.580517778111017,-0.544238468736448,-0.561959736852856,-0.543468607024871,-0.517092185517889,-0.528033451412367
"r2",0.152851970872308,0.151066179263057,0.151636322731795,0.150948973530356,0.150581018572041,0.15062146561601,0.151517072079241,0.150466623313704,0.152183548182321,0.154705671351501
