"","x"
"1",6804.05666666667
"2",6182.49833333333
"3",5918.66833333333
"4",5856.43666666667
"5",5782.48666666667
"6",5674.91
"7",6083.89333333333
"8",6322.34166666667
"9",6554.55333333333
"10",6592.30166666667
