"","x"
"1",15825.268890989
"2",19094.2180767914
"3",20157.4751364847
"4",22142.8819316281
"5",22263.4234243941
"6",24830.765677109
"7",23136.04862527
"8",26322.6106785077
"9",27723.1605765233
"10",21013.4395521101
