"","x"
"1",5067.76
"2",5415.47166666667
"3",5520.1
"4",5450.98666666667
"5",5465.045
"6",5637.48666666667
"7",5743.78
"8",6244.90666666667
"9",6619.91333333333
"10",6691.73
