"","x"
"1",26198.8245386235
"2",23705.5498342393
"3",21682.4511426656
"4",21775.6627388961
"5",21802.4492832252
"6",22545.2640218235
"7",24179.2525959457
"8",24144.1742538095
"9",27193.9618004641
"10",24749.1557526933
